"review","sentiment"
"Why review good movies when you can review ""Trancers II?""<br /><br />Ooh, this film is soooo lame. I can just picture the cast and crew driving around L.A. with a camcorder, hurling extras in silly monster make-up at poor, long-suffering Tim Thomerson. The stars' families actually turn up to play cameos, probably because Full Moon couldn't afford ""real"" extras. Lame effects, lame sets, and a script so convoluted it would take eons to untie all the knots - this must be classic Trancers!<br /><br />And yet...and yet...it rules. Note this is the same thing I say about ""Trancers IV."" I say it because it's true. What can beat watching an old guy in a trench coat mow down zombies, then bust out with quips like, ""Don't worry ladies, they're bio-degradable""? Well, lots of things could be better, but anyway this is still good stuff.<br /><br />My only significant reservation is Megan Ward, who really stinks up the joint. She's a lousy rival for Helen Hunt's character - they're both young pieces of eye candy, and it would've been more effective if they actually contrasted a bit more. Oh well, you can't have everything. At least the wonderful plot device of the ""long second watch"" is back in place, and we've got more of Hap Ashby, the least-convincing athlete in the history of cinema (oh, wait a minute - he's got a rival in the form of David Ogden Steirs in ""Creator"").<br /><br />I haven't seen this lately, but I do seem to remember that Martine Beswick runs away twice during the final battle. Hooray for lousy continuity! Just one of the many highlights in this fine film.","negative"
"Two thirds of nearly 2,000 IMDb users who have voted on this film have rated it at 8, 9 or 10 and one user reports wearing out six videotapes (Was this a record, or merely a faulty VCR?). Although the film is primarily intended as a period piece it clearly has a quite unusual fascination. But for some reason I imagined it as largely whimsy and until recently never felt the urge to watch it. My mind was changed by Elizbeth Von Arnim's original book. My wife loves reading but her sight no longer allows her to read much so she borrowed it in talking book form. Such books are usually irritating to a companion who is busy with other things, but I gradually came to appreciate that this one was seductively soothing, although in no way syrupy, and was also very well written. I realised my wife would enjoy watching the film, and so decided to buy her the videotape. I am now very glad that I did, and would certainly recommend its purchase to anyone else who appreciates a quiet reflective work with no fireworks but with well constructed character development and a very successful pre-Mussolini Italian atmosphere. The story is set in the immediate post WW1 period and starts with two married London ladies who decide to pool their savings and enjoy a holiday together, away from their families, in a rented villa in Italy. Force of circumstances lead to this couple being joined by two others with very different characters and backgrounds. Its theme is essentially no more than the interactions that take place as their holiday progresses, not only between these four very disparate mature ladies, but also with the occasional male visitor. If you want action, thrills, dramatic sex scenes, natural or man-made disasters, or Harlequin style romances this would not be the film for you. But IMDb users have collectively and very emphatically demonstrated that none of these are necessary for a film to prove highly rewarding to watch, and if you care to give it a try you may, as I did, come to rank it among your much loved films.<br /><br />It is fairly rare for me to watch a film of a book with which I am already familiar. In many cases I find this takes some of the pleasure away from watching the film, but here there is such a strong visual appeal in the setting that I actually found my pleasure augmented by the anticipation of seeing the next segment of the book, effectively unrolled before my eyes. (Perhaps Italy itself has some part in this, the last time I had this experience was when I was watching tales from Boccaccio's Decameron on TV.) Generally films of books tend to increase the dramatic level of the original work to ensure that the filmed version has an even wider appeal, but here if anything it is reduced in order to keep the viewers attention on the gradual character development rather than on any background events. This works very well, although changes from the book are few and basically the film remains true to the original story. Great credit is due to the Director, Mike Newell, and all members of the cast, particularly those well known British Actresses who play the four principal ladies.","positive"
"There is a reason why certain films go straight to video and of course the obvious reason is that if its too naughty for theater audience then release straight to video. Of course it really wouldn't be fair to the films that are good and yet they are also released straight to video. This one is not an exception although the film has good actors or at least actors with potential: Amy Adams (am Oscar nominee and talented actress), Robin Dunne who deserves better or at least a better agent, and Sarah Thompson who deserves roles that are a departure from teen melodramas. The film is also misstated: this film takes place before Cruel Intentions so therefore this film is actually a prequel and rather stupid one at that. This was a waste and its really a film that is in the same level as soft core porn and pay-per-view masturbation films. Fortunately for the actors, hopefully they will be able to erase this from their resumes. So if you are looking to see something naughty, but don't have the courage to buy porn then rent this film as a starter.","negative"
"I am a lover of B movies, give me a genetically mutated bat and I am in heaven. These movies are good for making you stop thinking of everything else going on in your world. Even a stupid B movie will usually make me laugh and I will still consider it a good thing. Then there was Hammerhead, which was so awful I had to register with IMDb so I could warn others. First there was the science of creating the shark-man, which the movie barely touched on. In order to keep the viewers interested they just made sure there was blood every few minutes. During one attack scene the camera moved off of the attack but you saw what was apparently a bucket of blood being thrown by a stagehand to let you know that the attack was bloody and the person was probably dead (what fabulous special effects). Back to the science, I thought it was very interesting that the female test subjects were held naked and the testing equipment required that they be monitored through their breast tissue. Anyway this movie had poor plot development, terrible story, and I'm sorry to say pretty bad acting. Not even William Forsythe, Hunter Tylo or Jeffrey Combs could save this stinker.","negative"
"Describing Stalingrad as a war film may be a bit inaccurate. Sure it centers on the longest and bloodiest battle in world history, in the most expansive theater of the most costly war in terms of lives, money, and matériel that has ever occurred. Yes it contains action scenes depicting bitter battles and terrible destruction. The visceral storytelling and harsh images though make it something more than a war film, even more than an anti-war film. Stalingrad is instead a film about absolute and undeniable hell.<br /><br />The film is fraught with visual descriptions of the worst kind of war, one that is intensely personal and close, where days are spent in taking one city block, only to have it re-taken in a surprise assault. The early form of modern urban warfare that the Germans came to call Rattenkrieg (Rat Warfare) is depicted in brutal and uncompromising terms. The characters war in sewer tunnels, rail yards, and from building to building in the hellish bomb-scape of ruined Stalingrad, only to be defeated by the unforgiving Russian winter.<br /><br />The film deals with the issue of Nazism and the vilification of Germans in that period in the way that many other films from both Germany and the rest of the world do. Its characters are a group of soldiers swept along by the winds of war and simply attempting to make it out with themselves and as many of their comrades as possible alive. The characters do not fight the Soviets out of any ideological hatred between National Socialism and Soviet Communism, not for any grand dream of Grossdeutschland or racial superiority. They fight only because if they do not the enemy will kill them, and if the enemy does not then their own officers certainly will for refusing to fight. This portrayal adds another layer to the suffocating envelope of trapped hopelessness that pervades the film.<br /><br />A sort of ground based companion to Das Boot, Stalingrad frames the epic struggle of World War Two in a personal light and from the unexpected perspective of the ordinary German soldier as a sort of hero made tragic by circumstance and a brutal government that would pervert his sacrifice.","positive"
"Symbolism galore, great tunes, this film crushed their ""soon to be no more"" target audience's expectations. These monkees and the naturally selected members of the group, were witnessing a subtle yet in your face, kiss goodbye to each other. The message rings true today, the cage you escape from and the bridge you want to jump off of, are the next generations own disappointments, there will always be new kids on the block replacing those who break free from the chains. The film can be frustrating at times, because the themes the film attacks are so blatantly apart of the American way of life, a thinking and reasoning person cannot help but stare at their own reflection in the scenes of Head, and question not only their personal motives for continuing the madness of everyday American life, but the motives of those who want it to continue for the sake of madness. The final scene, similar to Don Quixote's chivalric daring of the caged tiger to exit for battle, represents just how delusional and impossible most dreams are.","positive"
"I saw this at the Toronto Inter. Film Festival in Sept. 2005. The description seemed intriguing--how wrong I was! This could easily be the worst movie I have ever seen--in 50 years! I see the director is my age (b. 1948) and lived with Nico of the Velvet Underground, which leads us to Andy Warhol, which coincidently is the one I thought of while watching this--Warhol's 24+ hour movies of nothing much happening. This is not art, this is boredom.<br /><br />Specifically: black & white. OK, maybe...but what is the purpose here? Surely they had color in 1968! And there is no contrast with the present. And yes, the subtitles were in white, naturally. I don't think I missed much, but that made about 20% of them illegible.<br /><br />Next, it's pure chronological order, but with seemingly random events thrown in. What's the purpose of the conversation with the old man at the dinner table? It adds nothing to the movie. There were many similar scenes--almost like someone took a camcorder and filmed random people and spliced them together to make a movie.<br /><br />Plot? None. The ""riot"" consists of some figures in the distance occasionally heaving a rock off screen. Mostly it's an excruciating length of time watching people (in the distance!) stand around. The repetitive opium smoking is just as boring. When the main character got a cute girlfriend, I perked up, but no, she was boring too! This is perhaps the only French film I've seen where no one takes off their clothes. Probably they were too bored to bother.<br /><br />Romance? None. The girl seems totally indifferent to everything--maybe her sculpture holds some interest, but if it does, we're not shown that. We are completely indifferent to the fate of the characters because they are all unappealing. Maybe that's the point of all this?","negative"
"This movie has got to be about one of the worst i have ever seen. The humor was crude, hardly funny and been heard a million times before. The start was noting special and it got worse and worse as it went on. I got about halfway through and couldn't stand to watch any more of it. Luckily I was only watching it on TV so it didn't cost anything, but I seriously recommend you do not waste you time or your money.<br /><br />Nothing in the movie was new. The characters were not at all developed. I actually think it would have been better as a little kids movie in that it was full of stupid unrealistic ""funny"" events occurring ... thats like what happens in home alone or something. Not to imply home alone was in any way as terrible as this.","negative"
"Another Excellent Arnold movie. This futuristic movie has great action in it, and is one of Arnie's best movies. Arnold is framed as a bad guy in this movie and plays a Game of Death. This movie is excellent and a great Sci-Fi / action movie. I've always liked this movie and it has to be one of the greatest adventure movies of all time. 10 out of 10! PERFECTION","positive"
"Let's get the flaw out of the way right off the top - the movie should have been much longer. Ray Charles was a brilliant, fascinating man who lead a complex, challenging life. There was simply no way to fit it all - or even touch on it all - in a standard length movie. Given that, the makers of this film did an admirable (and I'm sure quite agonizing) job of putting together a film that could not tell the whole story yet managed to set forth a representative sampling of the man and his music. Ray Charles' strengths were evident throughout the film and his weaknesses were neither amplified nor sugar-coated. We could have wished for another hour chronicling his life after 1980, but I suppose that would have tended to turn the film into an homage and, while it would have also allowed for the resolution of several things that were left hanging at the end, on balance I guess it was better as presented.<br /><br />Now for the big question: what are the criteria for an Oscar? The wife and I have seen untold numbers of films in our years, but we immediately agreed that we have never seen a performance the equal of Jamie Foxx's. The line between actor and character was not blurred - but rather it disappeared completely. We had heard much of the hype before seeing the movie, but this was uncanny. Foxx WAS Ray Charles. You didn't watch the movie with the feeling that you were watching Foxx do an outstanding job of portraying Ray Charles - you watched it somehow believing or understanding that you were watching Ray Charles himself. I don't know how else to put it. We were completely blown away. I'll admit that we haven't seen all of the other performances up for an Oscar this year, but that really doesn't matter. Foxx took this to a whole nuther level, one which we've never witnessed before and doubt that we may ever see again. I can think of no other movie I've ever seen in which a person playing a part so completely and convincingly became the person portrayed. We salute you, Mr. Foxx. We understand that the awarding of an Oscar has to do with much more than the performance, but whether or not you win, we want you to know that you have done something that is in a class absolutely by itself and you should take enormous pride in your unparalleled achievement.<br /><br />P.S. The music was naturally great. I remarked to the wife that if there is one moment in the history of music to which I wish I could have been witness, it would have been the genesis (in Kansas City, wasn't it?) of What'd I Say? The film did a wonderful job with it - just wish I could've been there!","positive"
"Overall it was a watchable movie. I didn't pause it or stop it to come back to it--a clear sign of a boring movie--so it passed the first test. Best of all, it got into the story fast, no boring unneeded back story for the characters.<br /><br />It will never go down as a great movie. Nor as a great B movie. I would recommend this movie to slasher/horror fans who don't mind straight to video releases.<br /><br />Unlike some movies of it's ilk, there is no nudity, only moderate language and rather subdued gore. There is violence though. The deaths were rather dry and unimaginative sadly. The computer special effects were actually pretty good. The way the 'creature' wielded his chains in some scenes reminded me of 'Spawn' and the 'Ghost Rider' comic books.<br /><br />A little pet peeve...It's set in Lousinia, but no one seems to talk with any accent. I had to watch the credits to even realize it was filmed in Lousinia.<br /><br />Like most low budget movies, there are small goofs in the filming. Lack of time and money would be the main factors for the goofs. For example in one scene it went from mid afternoon to pitch black in seconds...during a short car ride. The other instance was the stunt double for the 'creature' didn't have on the 'creature' makeup when falling out of the tow truck...it also looks like he's wearing a shirt in the scene.<br /><br />In summary, I didn't hate this movie but I also didn't love it. I probably will never rent it again, but if a buddy owned it, I may watch it again in a few years.","negative"
"When the movie first started I thought cheesy. The first ten minutes were really boring. After the slow beginning and some of the soap opera antics, I started liking it. The plot was different than anything I had ever seen. Now, was it a horror? Not really. It shouldn't have been classied as a horror or the producers should have put more money into the movie to make it scary. As it was, the creatures where only there for a short time. I can only assume this was for money reason.<br /><br />The good side was that the movie was very entertaining. It held my interest (after the start) and did make me wonder about creatures from another dimension.<br /><br />It was obvious that this was a first time movie for the director, but there were a couple of highlights. By the end, I was hooked. Too bad Hollywood didn't put more money behind this.","positive"
"Mario Lewis of the Competitive Enterprise Institute has written a definitive 120-page point-by-point, line-by-line refutation of this mendacious film, which should be titled A CONVENIENT LIE. The website address where his debunking report, which is titled ""A SKEPTIC'S GUIDE TO AN INCONVENIENT TRUTH"" can be found at is :www.cei.org. A shorter 10-page version can be found at: www.cei.org/pdf/5539.pdf Once you read those demolitions, you'll realize that alleged ""global warming"" is no more real or dangerous than the Y2K scare of 1999, which Gore also endorsed, as he did the pseudo-scientific film THE DAY AFTER TOMORROW, which was based on a book written by alleged UFO abductee Whitley Strieber. As James ""The Amazing"" Randi does to psychics, and Philip Klass does to UFOs, and Gerald Posner does to JFK conspir-idiocy theories, so does Mario Lewis does to Al Gore's movie and the whole ""global warming"" scam.","negative"
"This is one of those religious horror films which never explain why the forces of ""evil"" are 10,000 times stronger than those of ""good"". We've got here a Satanic cult which can: 1) ""beam away"" people (like in ""Star Trek""), 2) kill through little children's dolls, 3) transfer a soul from one body into another, 4) hypnotize telepathically from a bigger distance, and 5) cause drastic car-crashes in which selected persons turn into spaghetti while others (kids, in this case) survive unscathed.<br /><br />On the other hand, the forces of ""good"" can: 1) sit around helplessly, 2) stand around cluelessly, 3) panic, 4) laugh hysterically, 5) waste time by doing nothing, 6) read comics while people get slaughtered by the dozens, and 7) arrive too late to Satanic rituals.<br /><br />In every religious horror movie I have to assume that that movie's world is inhabited by God and by Satan. I also have to assume that Satan can't be 1,000,000 times more powerful, unless the movie has a world order resembling that of Hell. In other words, where were the priests in this film who knew something? The best that this movie's priest could do is guess that there are some witches about - nothing else - from reading all those books in his study. At the first sight of violence this priest becomes catatonic, then laughs hysterically, only to finish in a major panic attack. So this is supposed to be God's contribution to fighting Satan? Ridiculous. Every good religious horror film has the powers of ""good"" equipped with some form of (more-or-less) supernatural power, or at least SOME concrete knowledge of how to fight ""evil"". In that sense this movie is quite idiotic. As is the casting of the droll Martin to play the high priest(!) of the cult. There is very little menace or awe in watching the quirky Martin lead a Satanic ritual. I mean, it didn't have to be Christopher Lee or Langhella, but couldn't they have found someone less funny-looking? Also, why does the couple go back to the town after their car is put out of the running? After their ""friendly"" encounter with the town's folk no sane person would have gone back; they should've just walked on. The man's explanation to his girlfriend (and the viewer) is that ""who knows what's in that direction"".","negative"
"BLACK WATER has to be one of the best Australian movies I've seen in many years. My girlfriend and I sat gripping each others hands, jumping in all the right spots. This is as much a crocodile film as OPEN WATER was a shark film. In other words, the creatures are merely part of the dilemma, the trap in which people find themselves through circumstances. How director's Andrew Traucki and David Nerlich wring as much suspense and terror from such a modest situation is amazing to watch unfold. And when I say terror, its not overblown, artificially constructed squirm moments, but more little touches that when you ask yourself ""how would I feel in that situation"" lead you to conclude ""scared witless"". Performances were great, the pacing and gorgeous cutaways to other life in the mangroves were excellent and the ending moments of the film felt very right. This is a fitting feature debut for two directors who should rightfully by very proud. Go and watch this very beautifully shot and acted suspenseful film.","positive"
"When it first came out, this work by the Meysels brothers was much criticized and even judged to be exploitation. Luckily, it is now hailed as a masterpiece of documentary cinema, especially now that society has been exposed to real exploitation in what is reality television, and the bad evolution of most direct cinema.<br /><br />Really, at first, we must say that this isn't really direct cinema, it is more cinema verité. The difference between the two is very slight, but it mainly is the fact that in this documentary, we are made to feel the presence of the Meysels brothers, and they do interact with the characters filmed. This as well makes it clear that it is not exploitation. The Meysels have been allowed in the house, and they are included in what is a very eccentric situation of a very eccentric household. And both Edith and Edie just love the idea of being filmed.<br /><br />It would have been very disappointing had very been shown only a voice of God narration and shallow interviews. Here, we are given a full portrait of the madness of the house, a madness that does seem to go down well with both Edie and her mother Edith. Their house is a mess, litter and animals everywhere, faded colors and furniture all over the house, and the constant fights that are constant interactions of reality. These two people have lived with each other their whole life, and are not fighting in front of the camera because they want the attention, but rather because they can't help talking to each other this way. They know each other too well to hide their inner feelings, there is no need. In the end, though, even as they blame each other for their lives, they really love each other deeply. Edie says she doesn't want her mother to die, because she loves her very much, and Edith says that she doesn't want Edie to leave her because she doesn't want to be alone.<br /><br />But the most interesting aspect of the film is that regardless of their old age, the two women can't help be girls. They cannot help being one the singer, the other the dancer. Exhibit all their artistic skills in front of their camera. When Edie asks David Meysels rhetorically ""Where have you been all my life?"" she is really very happy that she finally gets to show the whole world herself and her wonderful showgirls skills. A beautiful portrait of stylistic importance and a charm that is highly unlikely to be ever seen again, the way only the Meysels and few others could do.","positive"
"I played Sam (the porter, Lou's sidekick) in the Film ""Dead Rail"" Which later aired as ""Alien Express."" And, I have to say that for my part I thoroughly enjoyed watching this film. As a struggling actor this was a chance for me to work with fantastic people, it gave me great scenes to include on my reel, and it allowed me to work on a dream job for a month and a half (no waiting tables!) Turi(the director) And Steve and Scott (the producers) Were very kind by giving me this opportunity to participate in the production. I made many friends (Lou, Todd, Steven) and I consider myself very fortunate to have been able to work with these incredibly talented people. There was not a day that went by that I did not laugh my butt off. The real tragedy isn't so much the special effects, it's that every single person who watched this film didn't get to see what happened behind the scenes and all the talent that truly went into it. Craftsmen building the set, prop masters, gaffers,wardrobe, makeup artists, script supervisors, the cinematographer, production assistants, extras, craft services, producers, director, and actors. It's a given that Sci fi didn't spend a terrible amount of money on the film (2 million) But There was a lot of time, energy, and man power that was instilled into it. I look on the film now as a production that brought a lot of talented people together for a fun project that was shot without complications in less than two months. It was a magnificent cast and crew and I'm just so glad to be apart of it! On a further note to those of you who don't know Lou Diamond Phillips, Todd Bridges, and Steven Brand. They are fantastic people who are incredibly funny. Lou I still am working on my Deniro impression and can't thank you enough for introducing me to ""midnight Run."" Todd, every time I hear an Elvis song I can't forget the story you told me about hanging out with him at his house for dinner. ""Can you please pass me the pa tators?"" (IM A HUGE ELVIS FAN!) Steven, ""Mr. Brand!"" You are a true gent and all the advice and encouragement I received from you will always be appreciated. I miss you guys and hope you are well. Thanks for the good memories, stories, jokes,and friendship. Oh and miss Utah says hello! wink wink.<br /><br />joe-","positive"
"This thing was bad. Really bad. I mean, low budget can sometimes be very inspiring, but not this. The story was so off-the-shelf, the alien's behaviour so illogical, the characters so clichéed. I found nothing good in it. And I did try.","negative"
"Mickey Rourke ( who was once a famous movie star ) plays Martin Fallon an IRA terrorist who accidentally blows up a school bus full of children who is so disgusted by his actions decides to leave the IRA and goes on the run in London <br /><br />!!!! MILD SPOILERS !!!!<br /><br />The movie's opening is rather disturbing as the lives of little children are ended in a fireball . Things like this happened throughout the 1970s and 1980s and into the 1990s in Northern Ireland which gives A PRAYER FOR THE DYING a stark realism . However as soon as Fallon decides he's going to give up violence ( What ? He's a terrorist and he's never blown up innocent passerbys before ? ) realism disappears and clichés and ridiculous plot twists take place . Martin is employed by the London underworld ( Don't they have their own hit men ? )to commit a hit while he wears an IRA "" uniform "" ( Never knew the provos wore uniforms ) at a cemetery in broad daylight ( Wouldn't an IRA man use a bomb placed under a car ? ) where he's spotted by a priest who recognises him while he was in the SAS . Hands up who thinks I'm lying ? I'm not and we're half way through the running time and there's still several clichés to come <br /><br />This all sounds very silly and it is but what do you expect from a novel by Jack Higgins ? Everything is clichéd , contrived and stereotypical and the bits that aren't are just plain bizarre . The critics slaughtered this movie when it came out , most notably they stated that it might have some potential if the movie had Bob Hoskins playing gangster Jack Meehan and Alan Bates playing the SAS soldier turned priest and for once the critics would have been right . They should also noted the film might have been less dire if Fallon was played by someone who was capable of doing an Irish accent . Rourke might be hunky and macho ( Oh gawd another movie with an IRA uberhunk ) but accents aren't his strong point any more than character acting is . To give you an idea how disappointing PRAYER FOR THE DYING IS the director ended up disowning it which is always a bad sign <br /><br />As a footnote the original release of PRAYER FOR THE DYING in Britain was delayed for several months because of "" The Enniskillen bombing "" . In November 1987 the Provisional IRA exploded a bomb in the centre of Enniskillen where a Remembrance Day parade which commemorates Britain's war dead was being held . Eleven ( 11 ) people were killed and scores more injured . It wasn't an accident and no one left the IRA because of it","negative"
